title,tag_line,year,rating,genre,certificate,run_time,budget,revenue
Metropolis,Fritz Lang's 1927 Masterpiece Now With 25 Minutes of Lost Footage (2010 re-release),1927,8.3,"Drama,Sci-Fi",Not Rated,153,,1349711.0
Taxi Driver,"On every street in every city in this country, there's a nobody who dreams of being a somebody.",1976,8.2,"Crime,Drama",R,114,1300000.0,28570902.0
L.A. Confidential,"Off the record, on the QT, and very hush-hush...",1997,8.2,"Crime,Drama,Mystery",R,138,35000000.0,126216940.0
Die Hard,It will blow you through the back wall of the theater!,1988,8.2,"Action,Thriller",R,132,28000000.0,141603197.0
Snatch,Stealin' Stones and Breakin' Bones,2000,8.2,"Comedy,Crime",R,102,6000000.0,83557872.0
Indiana Jones and the Last Crusade,He's back in an all new adventure. Memorial Day 1989.,1989,8.2,"Action,Adventure",PG-13,127,48000000.0,474171806.0
Bicycle Thieves,The Prize Picture They Want to Censor!,1948,8.3,Drama,Not Rated,89,133000.0,436655.0
Like Stars on Earth,Every Child is Special,2007,8.3,"Drama,Family",PG,165,,21897373.0
1917,Time is the enemy.,2019,8.2,"Action,Drama,War",R,119,95000000.0,384479940.0
Downfall,"April 1945, a nation awaits its...",2004,8.2,"Biography,Drama,History",R,156,13500000.0,92181574.0
Dangal,You think our girls are any lesser than boys?,2016,8.3,"Action,Biography,Drama",Not Rated,161,,
For a Few Dollars More,The man with no name is back.,1965,8.2,Western,R,132,600000.0,15000000.0
Batman Begins,The Legend Begins,2005,8.2,"Action,Crime,Drama",PG-13,140,150000000.0,373672993.0
The Kid,This is the great film he has been working on for a whole year,1921,8.3,"Comedy,Drama,Family",Passed,68,250000.0,41960.0
Some Like It Hot,"Not since SCARFACE, so much action. Not since the Marx Brothers, so much comedy. Not since THE SEVEN YEAR ITCH, so much Marilyn.",1959,8.2,"Comedy,Music,Romance",Passed,121,2883848.0,195088.0
The Father,Nothing is as it seems,2020,8.2,"Drama,Mystery",PG-13,97,6000000.0,24427162.0
All About Eve,It's all about women---and their men!,1950,8.2,Drama,Passed,138,1400000.0,151052.0
The Wolf of Wall Street,Earn. Spend. Party.,2013,8.2,"Biography,Comedy,Crime",R,180,100000000.0,406878233.0
Green Book,Inspired by a True Friendship,2018,8.2,"Biography,Comedy,Drama",PG-13,130,23000000.0,321752656.0
Judgment at Nuremberg,More than a motion picture...It is an overwhelming experience in human emotion you will never forget!,1961,8.3,"Drama,War",Approved,179,3000000.0,12180.0
Casino,You don't stay at the top forever,1995,8.2,"Crime,Drama",R,178,52000000.0,116112375.0
Ran,tionDramaWar,1985,8.2,"Action,Drama,War",R,162,11500000.0,4164283.0
Pan's Labyrinth,What happens when make-believe believes it's real?,2006,8.2,"Drama,Fantasy,War",R,118,19000000.0,83862032.0
The Truman Show,All the world's a stage...,1998,8.2,"Comedy,Drama",PG,103,60000000.0,264118201.0
There Will Be Blood,There Will Be Greed. There Will Be Vengeance.,2007,8.2,Drama,R,158,25000000.0,76182388.0
Unforgiven,"It's a hell of a thing, killing a man",1992,8.2,"Drama,Western",R,130,14400000.0,159167799.0
The Sixth Sense,I see dead people,1999,8.2,"Drama,Mystery,Thriller",PG-13,107,40000000.0,672806432.0
Shutter Island,Someone is missing.,2010,8.2,"Mystery,Thriller",R,138,80000000.0,294805697.0
A Beautiful Mind,The Only Thing Greater Than the Power of the Mind is the Courage of the Heart,2001,8.2,"Biography,Drama",PG-13,135,58000000.0,316791257.0
Jurassic Park,Life finds a way.,1993,8.2,"Action,Adventure,Sci-Fi",PG-13,127,63000000.0,1109802321.0
Yojimbo,Better if all these men were dead. Think about it!,1961,8.2,"Action,Drama,Thriller",Not Rated,110,,46808.0
The Treasure of the Sierra Madre,Storming to a New High in High Adventure !,1948,8.2,"Adventure,Drama,Western",Passed,126,3000000.0,5014000.0
Monty Python and the Holy Grail,You can do worse than see it.,1975,8.2,"Adventure,Comedy,Fantasy",PG,91,229575.0,1940906.0
The Great Escape,put a fence in front of these men...and they'll climb it...,1963,8.2,"Adventure,Drama,History",Approved,172,4000000.0,228178.0
No Country for Old Men,There Are No Clean Getaways,2007,8.2,"Crime,Drama,Thriller",R,122,25000000.0,171627434.0
Spider-Man: No Way Home,The Multiverse Unleashed.,2021,8.2,"Action,Adventure,Fantasy",PG-13,148,200000000.0,1921847111.0
Kill Bill: Vol. 1,"In the year 2003, Uma Thurman will kill Bill",2003,8.2,"Action,Crime,Drama",R,111,30000000.0,180906076.0
Rashomon,"The husband, the wife...or the bandit?",1950,8.2,"Crime,Drama,Mystery",Not Rated,88,250000.0,81379.0
The Thing,Anytime. Anywhere. Anyone.,1982,8.2,"Horror,Mystery,Sci-Fi",R,109,15000000.0,19632715.0
Finding Nemo,71% of the Earth's surface is covered by water. That's a lot of space to find one fish.,2003,8.2,"Animation,Adventure,Comedy",G,100,94000000.0,941637960.0
The Elephant Man,An incredible but true story... probably this year's best film.,1980,8.2,"Biography,Drama",PG,160,5000000.0,26023860.0
Chinatown,You get tough. You get tender. You get close to each other. Maybe you even get close to the truth.,1974,8.2,"Drama,Mystery,Thriller",R,130,6000000.0,29225935.0
Raging Bull,ographyDramaSport,1980,8.2,"Biography,Drama,Sport",R,129,18000000.0,23402427.0
V for Vendetta,"Remember, remember the 5th of November, the gun powder treason and plot. I know of no reason why the gun powder treason should ever be forgot.",2005,8.2,"Action,Drama,Sci-Fi",R,132,54000000.0,134686457.0
Gone with the Wind,"For the thousands who remember its unparalleled drama, action and romance! For the new thousands to whom the wonders will be revealed for the first time! Breathtaking spectacle, inspired acting by the greatest cast ever assembled! The screen's most exciting love story! The most-talked about picture ever made! [reissue]",1939,8.2,"Drama,Romance,War",Passed,238,3977000.0,402382193.0
"Lock, Stock and Two Smoking Barrels",A Disgrace to Criminals Everywhere.,1998,8.2,"Action,Comedy,Crime",R,107,960000.0,3753929.0
Inside Out,Meet the little voices inside your head.,2015,8.2,"Animation,Adventure,Comedy",PG,95,175000000.0,858848019.0
Dial M for Murder,Kiss By Kiss...Supreme Suspense Unfurls!,1954,8.2,"Crime,Thriller",PG,105,1400000.0,31207.0
The Secret in Their Eyes,Un crimen sin castigo. Un amor puro. Una historia que no debe morir. [A crime without a punishment. A pure love. A story that must not die.],2009,8.2,"Drama,Mystery,Romance",R,129,,
Howl's Moving Castle,imationAdventureFamilyFantasy,2004,8.2,"Animation,Adventure,Family",PG,119,24000000.0,237536126.0
"Three Billboards Outside Ebbing, Missouri",medyCrimeDrama,2017,8.1,"Comedy,Crime,Drama",R,115,15000000.0,162861289.0
The Bridge on the River Kwai,"The towering triumph of adventure from the makers of ""Lawrence of Arabia.",1957,8.2,"Adventure,Drama,War",PG,161,3000000.0,27200000.0
Trainspotting,"Choose life. Choose a job. Choose a starter home. Choose dental insurance, leisure wear and matching luggage. Choose your future. But why would anyone want to do a thing like that?",1996,8.1,Drama,R,93,1500000.0,16767475.0
Prisoners,Every moment matters,2013,8.1,"Crime,Drama,Mystery",R,153,46000000.0,122126687.0
Warrior,Fight for Country,2011,8.2,"Action,Drama,Sport",PG-13,140,25000000.0,23308615.0
Fargo,A homespun murder story.,1996,8.1,"Crime,Thriller",R,98,7000000.0,60611975.0
Gran Torino,ma,2008,8.1,Drama,R,116,33000000.0,269958228.0
My Neighbor Totoro,imationComedyFamilyFantasy,1988,8.1,"Animation,Comedy,Family",G,86,,
Catch Me If You Can,The true story of a real fake.,2002,8.1,"Biography,Crime,Drama",PG-13,141,,
Million Dollar Baby,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",2004,8.1,"Drama,Sport",PG-13,132,30000000.0,216763646.0
Children of Heaven,A Little Secret...Their Biggest Adventure!,1997,8.2,"Drama,Family,Sport",PG,89,,
Blade Runner,A Futuristic Vision Perfected [2007 Final Cut],1982,8.1,"Action,Drama,Sci-Fi",R,117,28000000.0,41722424.0
The Gold Rush,"The Picture I Want to Be Remembered by."" -Charlie Chaplin. (Print Ad- Calgary Daily Herald, ((Calgary, Alta.)) 30 December 1925)",1925,8.1,"Adventure,Comedy,Drama",Passed,95,923000.0,29328.0
Before Sunrise,Jump on and live a Eurorail journey you will never forget!,1995,8.1,"Drama,Romance",R,101,2500000.0,5987386.0
12 Years a Slave,The extraordinary true story of Solomon Northup,2013,8.1,"Biography,Drama,History",R,134,20000000.0,187733202.0
Klaus,Discover the friendship that launched a legend.,2019,8.2,"Animation,Adventure,Comedy",PG,96,,
Harry Potter and the Deathly Hallows: Part 2,It All Ends Here,2011,8.1,"Adventure,Family,Fantasy",PG-13,130,125000000.0,1342359942.0
On the Waterfront,The Man Lived by the Jungle Law of the Docks!,1954,8.1,"Crime,Drama,Thriller",Approved,108,910000.0,
Ben-Hur,A Tale of the Christ,1959,8.1,"Adventure,Drama",G,212,15000000.0,74437720.0
Gone Girl,You don't know what you've got 'til it's...,2014,8.1,"Drama,Mystery,Thriller",R,149,,
The Grand Budapest Hotel,ventureComedyCrime,2014,8.1,"Adventure,Comedy,Crime",R,99,25000000.0,173082189.0
Wild Strawberries,"We are such stuff as dreams are made on, and our little life is rounded with a sleep."" Shakespeare - The Tempest",1957,8.1,"Drama,Romance",Not Rated,91,,60418.0
The General,"Buster drives ""The General"" to trainload of laughter. (Trade paper ad).",1926,8.1,"Action,Adventure,Comedy",Passed,67,750000.0,
The Third Man,Carol Reed's Classic Thriller,1949,8.1,"Film-Noir,Mystery,Thriller",Approved,93,,1226507.0
In the Name of the Father,Falsely accused.  Wrongly imprisoned.  He fought for justice to clear his father's name.,1993,8.1,"Biography,Crime,Drama",R,133,,
The Deer Hunter,One of the most important and powerful films of all time!,1978,8.1,"Drama,War",R,183,15000000.0,49074379.0
Barry Lyndon,At long last Redmond Barry became a gentleman -- and that was his tragedy.,1975,8.1,"Adventure,Drama,War",PG,185,11000000.0,199632.0
Hacksaw Ridge,Based on the incredible true story.,2016,8.1,"Biography,Drama,History",R,139,40000000.0,180563636.0
The Wages of Fear,The complete restored version of the 1953 French classic [reissue],1953,8.2,"Adventure,Drama,Thriller",Not Rated,131,,1098.0
Memories of Murder,"1986 in a small town...for two detectives, everything was new.",2003,8.1,"Crime,Drama,Mystery",Not Rated,132,2800000.0,1166717.0
Sherlock Jr.,every inch of footage holds such a laugh!,1924,8.2,"Action,Comedy,Romance",Passed,45,,
Wild Tales,We can all lose control,2014,8.1,"Comedy,Drama,Thriller",R,122,,
Mr. Smith Goes to Washington,"OUR OPERATOR SAYS..""IT'S GOING TO BE A PLEASURE TO RUN ""MR. SMITH GOES TO WASHINGTON"" 5 DAYS STARTING SUNDAY, NOV.7) (print ad - Lubbock Morning Avalanche - Cactus Theatre - Lubbock Texas - November 2, 1938 - all caps)",1939,8.1,"Comedy,Drama",Passed,129,1900000.0,144738.0
Mad Max: Fury Road,WHAT A LOVELY DAY (all caps One Sheet),2015,8.1,"Action,Adventure,Sci-Fi",R,120,150000000.0,415261382.0
The Seventh Seal,"A film of visual scope, of imaginative concept, of powerful content, written and directed by Ingmar Bergman, twice honored by the Interational Jury at the Cannes Film Festival 1956,1957",1957,8.1,"Drama,Fantasy",Not Rated,96,150000.0,311212.0
Mary and Max,Two unlikely people. Two different worlds come together in a story about a most unusual friendship.,2009,8.1,"Animation,Comedy,Drama",Not Rated,92,,1740429.0
How to Train Your Dragon,One adventure will change two worlds,2010,8.1,"Animation,Action,Adventure",PG,98,165000000.0,494879471.0
Room,Love knows no boundaries,2015,8.1,"Drama,Thriller",R,118,13000000.0,35401758.0
"Monsters, Inc.","Monsters, Inc. : We Scare Because We Care",2001,8.1,"Animation,Adventure,Comedy",G,92,115000000.0,579707738.0
Jaws,Amity Island had everything. Clear skies. Gentle surf. Warm water. People flocked there every summer. It was the perfect feeding ground.,1975,8.1,"Adventure,Thriller",PG,124,7000000.0,476512065.0
Dead Poets Society,He was their inspiration. He made their lives extraordinary.,1989,8.1,"Comedy,Drama",PG,128,16400000.0,235860116.0
The Big Lebowski,Hay quienes tratan de ganarse la vida sin mover un dedo... otros tienen que cortarlos. (Mexico),1998,8.1,"Comedy,Crime",R,117,15000000.0,46969409.0
Tokyo Story,"As long as life goes on, relationships between parents and children will bring boundless joy and endless grief.",1953,8.2,Drama,Not Rated,136,,
